regstat2;regstat7;regstat13
224.8;982.3;549.5
239.9;796.7;2526.1
1543.3;355.3;1060.2
2067.7;1048.8;5800.6
318.3;653;945.2
837.3;3244.9;917.1
1206.3;1486.7;3984.7
1214.1;1437.8;8531.5
941.7;980.3;576.5
283.3;1451.5;360.1
733.6;1276.3;3476
1065.1;1959.4;711.3
1877.3;309.8;2203.4
672.7;879.5;7433.2
402.3;1112.8;6401.2
3377.8;387.1;188.2
337.7;1095.8;763.1
881.4;1188.6;1500.2
970;2258.1;581.5
636.7;3127.6;883.3
1441.6;617.3;787.4
983.1;4399.8;692.4
906.9;1192.4;941.7
457.5;3117.6;775.1
868.9;316.1;8374.7
1148.2;1154.4;4524.2
907;1154.8;9330
1554.1;873.7;535.3
381.3;571.2;1020.4
546.8;1032;2510.5
2022.8;852.3;793.7
777.1;2434.9;1083.3
636;1676.6;4675.6
938.8;1480.5;2122.4
604;2915.6;466.1
710.7;647.3;10805.5
456.2;267.4;626.3
1505.1;3825.3;3470
320.7;707.7;2289.7
2616.5;1541;271.8
1363.9;482.5;5965.9
1231.4;1695.6;3829.4
1034.8;1328.6;792
1524.6;1047.4;481.7
427.9;437.3;720.4
2915.1;4544.2;1153
2111.9;2685.3;2393.7
607.6;250.6;1038.1
2360.9;932.3;1020.1
1599.4;2686.8;744.5
2433.7;425.2;389.8
442.5;530.1;284.2
344.4;200.8;298.9
1562.2;1819.1;562.5
1223;1199.7;531.2
1071.2;1126.8;2622.5
1418;515.3;8886.7
1679.2;1581.5;1011.9
2047.6;1967.3;935.8
1539.9;590.3;755.7
639.2;2043;4245.9
1939.5;587.4;2195.8
1179.5;2232.9;3252.7
167.8;1382.6;10775.4
1708.9;1752.1;573.7
364.2;1837.9;2121.4
1919.6;1889;7870.5
1490.6;2263;5915.6
622.7;1775.2;3641.2
1262.2;433.2;5901.7
811.7;839;6523.2
648.5;527.3;372.5
1180.2;2245.7;587.2
3181.6;325.5;665.2
313.7;2255.2;942
234.9;3046.5;1104.5
1050;216.4;532.6
926;2700.3;3198.8
837.3;1771.9;1081.9
1381.6;1465.6;653.3
564.1;2082.6;376.2
824.8;2333.5;839.7
820.2;1727;303
824.9;2677.9;874.3
387.4;1538.6;249.2
969.3;391.3;522.4
1948;990.6;2585.8
1447.7;587.1;958.4
280;2572.6;894.7
536.7;1753.2;714.1
1797.5;185.2;1770
1085.5;234.1;8694
1430;2017.2;8426.8
581.2;1411.8;3192.6
2543.1;1424.4;8671.2
1195.9;169.3;5893.7
1200.5;2426.4;1874.6
367.8;1381.7;6684.6
1075.2;1147.9;3515.8
189.8;283.4;957.6
598.3;539.1;6229
1605.3;1251.5;1013.6
450.8;864.9;581.3
678.9;2881.7;3162.1
2896.1;847.5;8240
2046.2;557.4;971.3
1795.7;1853.2;1103.6
2189.3;2626.3;2450.5
2320.5;2747.7;319.9
1579.8;817.4;833.8
1164;3234.2;167.6
947.5;2866.6;1193.7
187.5;827.6;618.1
403.6;1354.5;880
1292.7;1414.5;1510.6
1574.1;2728.3;306.7
1805.1;2961.6;300
1388.5;831.2;578.8
1692.2;1327.9;210.4
1078.5;556;959.1
1701.7;2929.7;10763.8
1765.2;901.8;4889.2
632;2660.5;1720.2
1713.6;1777.6;3115.7
986.2;290.2;8313.2
2252.1;982.2;797
1780;2877.8;8010.6
970.3;1574.4;8855.9
1562;1066.4;1772
301.4;387.1;6619.4
